nama_tempat,user,review,rating
Tjoritja / West MacDonnell National Park,Saritha Dattatreya,"What a beautiful nature spot!!!! I say that it is a ""must visit"" place in Australia. There is camping facility available and the beauty is that you can do night walks to cover the entire place.  Please wear fly nets, otherwise it would be …",5
Tjoritja / West MacDonnell National Park,Alexander King,"Stunning scenery, ancient landscapes, total isolation. Be prepared to walk to see the good bits. Counts Point is absolutely incredible and climb Mt Sonder at 3am for an unbelievable sunrise. Highly recommended.",5
Tjoritja / West MacDonnell National Park,Justin Diamond,The active volcano was amazing and the burgers were unreal. 10/10 would visit again. Thanks google for picking my location so accurately and confirming it via my photography. Lifetime memories,5
Tjoritja / West MacDonnell National Park,Jean Paul Raynaud,Nice place to watch sunset on pittwater,5
Tjoritja / West MacDonnell National Park,John,What can you say. The red centre is great.,4
Tjoritja / West MacDonnell National Park,Roger Browne,"The West MacDonnell National Park is huge, but most of the tourist interest is centred around the waterholes and gorges. Most of these have picnic areas with gas barbecues, and some of them have inexpensive car camping facilities. I was …",5
Tjoritja / West MacDonnell National Park,Rajendran Ramachandran,"Just extraordinary! It takes at least two days, regardless of how much you rush through. So, be prepared to spend the time. Have the supplies to support your time. Walk to Redbank Gorge was the hardest but well worth the efforts. They …",5
Tjoritja / West MacDonnell National Park,Brian Hall,"So much to discover. Loads of trails, desert ""art"", but also a lot of garbage and dumping.",4
Tjoritja / West MacDonnell National Park,Wanda Taylor Taylor,Where do you start. Gorgeous landscape all over.,5
Tjoritja / West MacDonnell National Park,Mike Betts,"Something for everyone. Beautiful scenery, impressive geology, wonderful aboriginal culture, top class for tourists to get a sample of the outback. It leaves you breathless at every stop.",5
Tjoritja / West MacDonnell National Park,prem sampath,Great spot on good weekend,5
Tjoritja / West MacDonnell National Park,Mila Tutor,"Loved the Larapinta Track. Highly recommended, we had people who were 77 years old on our trip. So if u r healthy and love walking.. you can do it.",5
Tjoritja / West MacDonnell National Park,Susan McCulloch,Highly recommend the tour,5
Tjoritja / West MacDonnell National Park,Steven Foot,Some Fantastic sights to see. We enjoyed the West Mac's more than Uluru. Next time we will spend more time here. Plenty of camping available. The Mereenie loop road is badly corrugated towards king's canyon. The actual loop is all bitumen …,5
Tjoritja / West MacDonnell National Park,Rodney Waldron,A fantastic day trip.,5
Tjoritja / West MacDonnell National Park,Russell Day,"Great place to visit if staying in Alice Springs. There are a number of short walks that vary in difficult. Doesn't compare to Kings Canyon, but still well worth the visit.",4
Tjoritja / West MacDonnell National Park,Nicko Hancock,Visit this West MacDonnell National Park before you die.,5
Tjoritja / West MacDonnell National Park,Peter Luk,"Went to Red Bank Gorge. Beautiful place. Not many people, and the canyon is deep and slotty. Be aware of snakes and centipedes in the water though!",5
Tjoritja / West MacDonnell National Park,Nathan Davies,There is just something special about the red centre.  This is one of the great gems in the area just 30 mins for Alice.  If you only see one natural George id suggest its here.  2wd vehicles have full access with a fully sealed road and carpark.  Walking access to the water hole is very easy,5
Tjoritja / West MacDonnell National Park,Orettum Crasso,The Simpson Gap. Lovely spot.,5
Tjoritja / West MacDonnell National Park,Jaynie Orson,"Beautiful views, have to be fairly fit to do all the individual walks, have to be very fit to do all the walks together starting at the telegraph station if you do the big one, don't go in summer( november-mid March) and take more water …",5
Tjoritja / West MacDonnell National Park,Colleen Temaiharoa,Visited Palm Valley. Definitely 4WD. Lovely drive with little challenges except  when we arrived had to park SUV and walk a little...but your vehicle and you might be sturdier and carry on. Though a vehicle pulling a trailer dropped it at …,4
